-0.493790103568344 -0.717672255295550 0.421699285977971 0.877936008108638,-0.332870895456321 -1.00000000000000 -0.520264569962094 0.222433115051625,0.869581125380470 -0.611672707366535 -0.742626749752409 0.423971549746797,30.5193,-7.3327,3.8224
-0.965107956966894 -0.0204975533538968 0.659678897202646 0.925696897314847,-0.976772906261532 -1.00000000000000 -0.729923724600702 -0.00708893071163147,-0.261852308370936 -0.213294491020993 0.178983543518781 0.378199684509429,16.4708,7.0428,4.8519
-0.948212837213545 -0.0618575791229332 0.814815563235943 0.954382694370499,-0.904310078172983 -1.00000000000000 -0.511443073003786 -0.237746683020414,0.317635664470223 -0.422370598432020 -0.272949777404079 -0.180638277778818,18.2235,5.0622,-1.0893
-0.881468349704162 -0.424977975612281 0.710126940320184 0.917181801311704,-0.793441415723952 -1.00000000000000 -0.592435080689858 -0.302897638090701,0.472243103146908 -0.435711418324627 -0.380447636080835 -0.258902615246917,25.0904,-1.6137,-1.319
-0.926987583925750 -0.0436249273549787 0.832673831714435 0.953574864911058,-0.729501364024323 -1.00000000000000 -0.439468903432369 -0.243642188964519,0.375092014374474 -0.682586716542246 -0.336929329227884 -0.177012600586612,19.3215,0.8323,5.9898
-0.910827805970328 -0.142114638961084 0.687201842549256 0.989650429948225,-0.825409648296931 -1.00000000000000 -0.656322432357180 -0.143026676773317,0.412786516096733 -0.546353678390928 -0.311439387974069 -0.0116359887621937,20.2938,1.0312,5.245
-0.571573160039537 -0.887522148855003 0.302803023944216 0.929356581853495,-0.345061239787359 -1.00000000000000 -0.848140571598751 0.265103198704522,0.820551109147028 -0.305347631541835 -0.434704381733589 0.256937030811478,32.1191,-15.0794,-5.4311
-0.961836880762286 -0.334201951270578 0.620825009024442 0.851500160190601,-0.773715908460729 -1.00000000000000 -0.763796028634642 -0.524353829588911,0.273623490960619 -0.538212549799545 -0.176612385782396 -0.000733887474019063,25.1536,-6.4802,5.377
-0.961836880762286 -0.150503587205878 0.811024552745175 0.956601089569267,-0.801829618601673 -1.00000000000000 -0.537593974758933 -0.283977642074347,0.273623490960619 -0.578288797203661 -0.230720378699800 -0.0653533031818976,22.4634,1.0038,5.9101
-0.563237651907776 -0.666724868949463 0.439752120495724 0.864545203159731,-0.571401836315899 -1.00000000000000 -0.624833938241745 0.419813913304536,0.826294951862478 -0.478516343063787 -0.645136126829699 0.276256891116639,31.7642,-0.3731,-3.936
-0.881468349704162 -0.401901242212962 0.710126940320184 0.917371580630384,-0.799330309862187 -1.00000000000000 -0.592435080689858 -0.303736381401497,0.472243103146908 -0.446706220287225 -0.380447636080835 -0.257242285919004,24.5589,-1.3057,-1.239
-0.944948912157531 -0.0619106131645928 0.812010816423307 0.953222462915142,-0.895064718609340 -1.00000000000000 -0.511443073003786 -0.240714066888902,0.327217898979104 -0.441617736824924 -0.281183955957659 -0.182821427069686,18.2235,5.0622,-1.0893
-0.616898519672127 -0.676096223263188 0.528507769165027 0.808526855189795,-0.528604396306754 -1.00000000000000 -0.515785898285047 0.450407554350782,0.787042703051326 -0.513294544189225 -0.674273271798974 0.378704844728250,29.1681,0.7792,-0.4357
-0.965925826289068 -0.325896507293301 0.623464250349388 0.851411000798273,-0.773715908460729 -1.00000000000000 -0.763796028634642 -0.524353829588911,0.258819045102521 -0.543281841707245 -0.167056742390794 0.0123437885240667,23.7524,-6.2899,6.1198
-0.926987583925750 -0.0674649858116743 0.819769098728190 0.946486146586908,-0.764472959421420 -1.00000000000000 -0.466849741902997 -0.264194113145846,0.375092014374474 -0.641115878763650 -0.331707617120073 -0.185379192193045,19.4995,2.4269,4.6805
-0.969786918517233 -0.401476129859983 0.902987495832672 0.841370580848794,-0.806363823889877 -1.00000000000000 -0.364714278885987 -0.467493131887935,0.243953546137066 -0.434274453167977 -0.227149900168400 -0.271193136564649,26.7374,-0.7456,0.9069
-0.981958712696444 -0.395934801625239 0.943397919703278 0.894317887923697,-0.829781610849578 -1.00000000000000 -0.277482336674028 -0.387780365454179,0.189095442989892 -0.393316807621875 -0.181669804682695 -0.223208206632107,27.6718,2.3394,0.7281
-0.981958712696444 -0.372906369509774 0.951278928244443 0.905148481121551,-0.819960119661792 -1.00000000000000 -0.248013628005925 -0.357407772564403,0.189095442989892 -0.434288201248042 -0.183187447718018 -0.230143240686972,27.6584,2.3314,3.1735
-0.656322432357181 -0.734952669082012 0.608660212663727 0.975437283611078,-0.489661560076440 -1.00000000000000 -0.374121069756828 0.213632916468584,0.754480526445020 -0.469122724660332 -0.699690053297996 -0.0536943455362744,31.9065,-2.4985,-7.3975
-0.374121069756828 -0.743099142503884 0.302516708491717 0.929809620040038,-0.326905402965066 -1.00000000000000 -0.588349909417155 0.155506267307731,0.927379871015113 -0.583897698164875 -0.749885341350371 0.333574386470269,29.8579,-9.7267,0.5739
-0.484809620246337 -0.836737991304222 0.378518832712842 0.931304111526446,-0.266530863247207 -1.00000000000000 -0.624833938241745 0.151184004582958,0.874619707139396 -0.478362658288535 -0.682866050483562 0.331385045848779,32.1961,-13.3783,-1.9319
-0.897797101060790 -0.188443948703850 0.674379331854775 0.965402499261013,-0.828118782877827 -1.00000000000000 -0.660132778234689 -0.240073243454586,0.440409315667643 -0.527928176593982 -0.330812986243373 -0.101798095256174,20.2948,-0.1289,3.2728
-0.897797101060790 -0.209682493550924 0.754573365321681 0.974871816629940,-0.833625392046893 -1.00000000000000 -0.541854908579440 -0.136030411092044,0.440409315667643 -0.510981367207191 -0.370151718077168 -0.176410511021225,22.3009,3.576,0.3582
-0.421035813367491 -0.398661172458266 0.271760802545154 0.939412252383196,-0.731984079505991 -1.00000000000000 -0.763796028634642 0.320926575446607,0.907044014291465 -0.552511155474682 -0.585458532128419 0.120460587930007,23.222,4.1116,-1.6182
-0.992353495298594 -0.00341800483594011 0.648161960168902 0.982610943224359,-0.940658545323735 -1.00000000000000 -0.757223096347149 -0.0507471509868053,0.123428280262926 -0.339337322368725 -0.0806179616986411 0.178607001325418,19.2414,-0.1799,4.0703
-0.421035813367491 -0.736051984562585 0.342985022558643 0.911412635772023,-0.312820705349126 -1.00000000000000 -0.579992284871487 0.160103165194364,0.907044014291465 -0.600308822462535 -0.738897979284014 0.379069893093398,29.8689,-9.4721,2.8247
-0.628777687500513 -0.741804486861411 0.546773209110825 0.936384327654662,-0.396783575083635 -1.00000000000000 -0.493790103568344 0.230092977196138,0.777585120550482 -0.540637492055562 -0.676173344207396 0.265031342991247,32.0889,-5.4066,1.2266
-0.584108010358434 -0.716794706215209 0.475827216471511 0.843213400536293,-0.528060807419499 -1.00000000000000 -0.579992284871487 0.433680884535653,0.811675940406706 -0.455364834840502 -0.661209051325317 0.317666572910015,29.9027,-0.7327,-3.4288
-0.959017781309192 -0.137368556342715 0.838775851030119 0.966423214264041,-0.870378542181469 -1.00000000000000 -0.484809620246337 -0.220243395166950,0.283345893093221 -0.472833028709267 -0.247819902036344 -0.132359426626493,19.9184,4.7051,0.5524
-0.959017781309192 -0.137925006621247 0.841118375094208 0.967617438796917,-0.863060727841268 -1.00000000000000 -0.480376581013968 -0.217366894613448,0.283345893093221 -0.485904180478651 -0.248512010760465 -0.128328193559327,20.1511,4.7078,1.8206
-0.905272431289101 -0.219082982612028 0.734787851990847 0.872658386901006,-0.923809222122574 -1.00000000000000 -0.584108010358434 -0.105138010396592,-0.424831525605056 -0.313973196071103 0.344825528059899 0.476878746162145,21.5147,-3.5604,10.5088
-0.507087145435631 -0.833242650923809 0.402299280650105 0.928899063323165,-0.258431516255329 -1.00000000000000 -0.608761429008721 0.145794972678761,0.861894788784538 -0.488794267649933 -0.683787109661822 0.340426726475679,32.3939,-12.7741,-0.17
-0.893214491985374 -0.619721529660366 0.429899467929163 0.717786244282690,-0.645373046676262 -1.00000000000000 -0.876558805544014 -0.690710209950073,0.449630816678874 -0.446585777090154 -0.216404962737627 -0.0877628246427696,26.6731,-16.2242,0.521
-0.620874181818246 -0.602338832232026 0.543028795072286 0.946046033614779,-0.459024988386493 -1.00000000000000 -0.484809620246337 0.219945841032961,0.783910231054248 -0.653057418013255 -0.685623336708242 0.237951106940160,29.1235,-2.9698,3.5686
-0.636751347470152 -0.751861396511529 0.555291284308468 0.921376962619443,-0.389274587977544 -1.00000000000000 -0.489382451748846 0.248923199212877,0.771069206683126 -0.532136951912425 -0.672425762066966 0.298499135087184,32.7038,-5.9523,0.8273
-0.934453296747047 -0.380713549234739 0.603150064204372 0.848539809754406,-0.775700632770968 -1.00000000000000 -0.763796028634642 -0.523597344592941,0.356085714679170 -0.503334602176135 -0.229838262028347 -0.0763283171383839,24.4312,-6.0499,2.5206
-0.897797101060790 -0.286039928962580 0.715027502667275 0.931922924045998,-0.811100881009694 -1.00000000000000 -0.604738126349700 -0.303944422072912,0.440409315667643 -0.510192630154906 -0.350752717692186 -0.197831877937609,23.7508,-0.9149,1.1105
-0.961836880762286 -0.369039863984867 0.794760959089029 0.986047007607749,-0.804668265849328 -1.00000000000000 -0.563237651907776 0.128597221352182,0.273623490960619 -0.465100592049792 -0.226093709291747 0.105707395428617,27.3521,2.699,5.5035
-0.959017781309192 -0.122210857687363 0.838775851030119 0.970179532458223,-0.816541190742962 -1.00000000000000 -0.484809620246337 -0.224161970168876,0.283345893093221 -0.564202968871474 -0.247819902036344 -0.0922121788548120,21.8062,2.6672,4.7675
-0.943280616635189 -0.321008993796077 0.838592637419919 0.985156169304502,-0.764844487165369 -1.00000000000000 -0.457873915116956 -0.139581772751971,0.331996503415830 -0.558539288103151 -0.295150582450001 -0.0999212229543681,28.2331,0.6463,5.0195
-0.866548527612819 -0.326991712337061 0.627008326780883 0.924468914528157,-0.838012222874488 -1.00000000000000 -0.690251240234437 -0.314852116748423,0.499092826327985 -0.436820254081512 -0.361128486140679 -0.215000861975407,23.4026,-1.256,-3.4735
-0.567412674039288 -0.690711137432770 0.446578004721462 0.860717038865283,-0.555245242925623 -1.00000000000000 -0.616898519672127 0.422410899888850,0.823433577976745 -0.463271890831717 -0.648077388994043 0.284139421168678,29.1784,-0.9953,-3.4703
-0.980989040697711 -0.410181702056476 0.938174529266475 0.887270754327661,-0.827075917448465 -1.00000000000000 -0.292204793604068 -0.402111191299320,0.194063139289730 -0.384312890851755 -0.185593402981981 -0.225958399593079,27.124,1.5962,-0.1619
-0.546248162194184 -0.631941247468828 0.421195137075186 0.873511164417390,-0.596888227011428 -1.00000000000000 -0.636751347470152 0.415791595592649,0.837623391089024 -0.494342699149785 -0.645865603666244 0.253171077875601,27.707,0.4629,-2.4031
-0.959017781309192 -0.203392936266344 0.717151665617152 0.998866626357961,-0.910536984290128 -1.00000000000000 -0.663926212652242 0.0469790965059591,0.283345893093221 -0.359935707754586 -0.211885517805712 0.00764377130406149,24.3967,3.3741,1.4143
-0.462367751040992 -0.397204269823276 0.331251224173804 0.917867197545877,-0.684681534971446 -1.00000000000000 -0.697665430940846 0.347152192348118,0.886688255700557 -0.611097343885000 -0.635244498562151 0.192367260772650,20.9383,3.3854,2.0499
-0.895478827032412 -0.317332629800253 0.778691486165228 0.927927856283006,-0.674353066615427 -1.00000000000000 -0.493790103568344 -0.299498256207576,0.445104111794820 -0.666744286522521 -0.387054134446014 -0.221924960431778,25.0749,-3.327,4.5997
-0.828646980262559 -0.402366972447481 0.760264661954244 0.980699521938758,-0.638135926299995 -1.00000000000000 -0.397788507397950 -0.0298948643323696,0.559771544562371 -0.656417061820224 -0.513577596051182 -0.193222008983555,26.951,0.3062,1.8443
-0.636751347470152 -0.669782861778534 0.580245762596590 0.769571389484398,-0.480896368085556 -1.00000000000000 -0.411832473287575 0.437945314838871,0.771069206683126 -0.565799965738668 -0.702644197965472 0.464719030918398,31.5252,1.1055,2.763
-0.969786918517233 -0.464927922207948 0.911763844545673 0.857259675806897,-0.687037065889089 -1.00000000000000 -0.340707751943952 -0.426914695884338,0.243953546137066 -0.558410330532945 -0.229357623689713 -0.287836221962137,25.0955,-8.4168,0.6994
-0.926987583925750 -0.0674649858116743 0.819769098728190 0.946486146586908,-0.764472959421420 -1.00000000000000 -0.466849741902997 -0.264194113145846,0.375092014374474 -0.641115878763650 -0.331707617120073 -0.185379192193045,19.8063,1.8906,5.2772
-0.828646980262559 -0.397759968016468 0.760264661954244 0.980699521938758,-0.639113263932992 -1.00000000000000 -0.397788507397950 -0.0298948643323696,0.559771544562371 -0.658271405811050 -0.513577596051182 -0.193222008983555,27.5246,0.3654,1.6072
-0.985615113141945 -0.0667392807008559 0.670046179831132 0.991173272806489,-0.932901474721659 -1.00000000000000 -0.733374009306027 -0.0411431144659674,0.169005469574779 -0.353893637797696 -0.114894209462917 0.126026931273095,19.2414,-0.1799,4.0703
-0.866548527612819 -0.453422254174547 0.510445026764107 0.863292097918887,-0.802992253211678 -1.00000000000000 -0.808092705754885 -0.476705611712366,0.499092826327985 -0.386796717542051 -0.293993288286551 -0.165766442420494,24.0981,-7.0674,-3.8361
-0.444166124675779 -0.729461680566695 0.372043935557796 0.898972960807598,-0.298742412472883 -1.00000000000000 -0.546248162194184 0.165778743612363,0.895944447881955 -0.615336190691475 -0.750464026662266 0.405419565269273,30.1004,-9.5715,2.8583
